('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         790073 function calls (765848 primitive calls) in 6.190 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      260    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
       27    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
      165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      303    0.000    0.000    1.024    0.003 ssl.py:1095(read)
       51    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       74    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
  166/163    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       66    0.000    0.000    0.946    0.014 {method 'readline' of '_io.BufferedReader' objects}
      215    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      825    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
  212/176    0.000    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
        6    0.000    0.000    0.004    0.001 typing.py:2780(__new__)
      424    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      197    0.000    0.000    2.328    0.012 <frozen importlib._bootstrap_external>:1520(find_spec)
     2589    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1476    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        3    0.000    0.000    0.195    0.065 utils.py:1(<module>)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
  734/677    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      733    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
      497    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
      237    0.000    0.000    1.084    0.005 <frozen importlib._bootstrap_external>:159(_path_isfile)
      660    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
      339    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
       20    0.000    0.000    0.144    0.007 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      405    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      122    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
       49    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
       54    0.000    0.000    0.003    0.000 typing.py:1449(__getitem__)
      817    0.000    0.000    0.001    0.000 element.py:2160(get)
        2    0.000    0.000    0.000    0.000 response.py:577(__init__)
        1    0.000    0.000    0.125    0.125 packages.py:1(<module>)
      198    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    1.408    1.408 financial.py:48(main)
      825    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       20    0.000    0.000    0.143    0.007 <frozen zipimport>:64(__init__)
      517    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
       20    0.000    0.000    0.208    0.010 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       62    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
      323    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
