('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         790565 function calls (766278 primitive calls) in 6.567 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      215    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      215    0.000    0.000    0.000    0.000 _virtualenv.py:53(find_spec)
  212/176    0.000    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
      200    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
      198    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      198    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      197    0.000    0.000    2.289    0.012 <frozen importlib._bootstrap_external>:1520(find_spec)
      197    0.002    0.000    2.288    0.012 <frozen importlib._bootstrap_external>:1491(_get_spec)
      195    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      194    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      194    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      192    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
    192/4    0.001    0.000    5.023    1.256 <frozen importlib._bootstrap>:911(_load_unlocked)
  192/188    0.001    0.000    0.175    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
      192    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      190    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      190    0.001    0.000    0.011    0.000 _compiler.py:511(_compile_info)
      190    0.001    0.000    0.170    0.001 _compiler.py:740(compile)
      190    0.001    0.000    0.104    0.001 _parser.py:969(parse)
      190    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      190    0.000    0.000    0.065    0.000 _compiler.py:573(_code)
      190    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      190    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      189    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
      176    0.000    0.000    0.009    0.000 _parser.py:98(closegroup)
      176    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
      174    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      174    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      174    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      172    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
    167/1    0.002    0.000    6.567    6.567 {built-in method builtins.exec}
  166/163    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      165    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      165    0.039    0.000    0.039    0.000 {built-in method marshal.loads}
      165    0.806    0.005    0.806    0.005 {built-in method _io.open_code}
