('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         790306 function calls (766059 primitive calls) in 10.760 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4249    0.001    0.000    0.002    0.000 {built-in method builtins.max}
        1    0.001    0.001    0.004    0.004 constant.py:1(<module>)
    192/4    0.001    0.000    3.947    0.987 <frozen importlib._bootstrap>:911(_load_unlocked)
      412    0.001    0.000    0.002    0.000 _parser.py:265(getwhile)
     9226    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      856    0.001    0.000    1.710    0.002 <frozen importlib._bootstrap_external>:140(_path_stat)
     5618    0.001    0.000    0.001    0.000 element.py:2763(descendants)
      310    0.001    0.000    0.005    0.000 typing.py:175(_type_check)
     6195    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      260    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      190    0.001    0.000    0.011    0.000 _compiler.py:511(_compile_info)
     1363    0.001    0.000    0.002    0.000 _parser.py:172(__setitem__)
       21    0.001    0.000    7.520    0.358 __init__.py:1(<module>)
     2322    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      192    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     3705    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     9103    0.001    0.000    0.001    0.000 typing.py:2154(cast)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
    442/8    0.001    0.000    3.873    0.484 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1057    0.001    0.000    0.003    0.000 _parser.py:312(_class_escape)
      495    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      190    0.001    0.000    0.164    0.001 _compiler.py:740(compile)
      260    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
      330    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      853    0.001    0.000    0.002    0.000 typing.py:1188(__setattr__)
      942    0.001    0.000    0.002    0.000 _parser.py:449(_uniq)
     2761    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     2922    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      165    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      380    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
      174    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
     2800    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     5616    0.001    0.000    0.001    0.000 element.py:2219(__bool__)
    165/4    0.001    0.000    3.947    0.987 <frozen importlib._bootstrap_external>:989(exec_module)
     1346    0.001    0.000    0.002    0.000 filter.py:623(_match_attribute_value_helper)
     1005    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     1237    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
     1678    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1437    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
       40    0.001    0.000    0.010    0.000 response.py:122(decompress)
       10    0.001    0.000    0.006    0.001 enum.py:919(_convert_)
     2626    0.001    0.000    0.001    0.000 filter.py:292(matches_string)
    52/14    0.001    0.000    0.016    0.001 css_parser.py:911(parse_selectors)
     3821    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     2800    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      190    0.001    0.000    0.102    0.001 _parser.py:969(parse)
     3251    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      134    0.001    0.000    0.005    0.000 typing.py:1242(__init__)
      260    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
      257    0.001    0.000    0.661    0.003 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      313    0.001    0.000    1.297    0.004 ssl.py:1237(recv_into)
  192/188    0.001    0.000    0.040    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     1447    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       86    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
     3356    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
     2683    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
       62    0.001    0.000    0.006    0.000 typing.py:687(Union)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
      174    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
      217    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:416(__enter__)
     2799    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      488    0.001    0.000    0.118    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     1005    0.001    0.000    0.002    0.000 _compiler.py:398(_simple)
      928    0.001    0.000    0.001    0.000 typing.py:1134(_is_dunder)
     2648    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
       77    0.001    0.000    0.005    0.000 css_parser.py:462(parse_attribute_selector)
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      215    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      165    0.001    0.000    0.407    0.002 <frozen importlib._bootstrap_external>:1202(path_stats)
      339    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:632(cached)
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      313    0.001    0.000    1.298    0.004 socket.py:693(readinto)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      190    0.001    0.000    0.060    0.000 _compiler.py:573(_code)
      165    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      497    0.001    0.000    0.001    0.000 enum.py:726(__call__)
       15    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
       74    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
  212/176    0.000    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
      358    0.000    0.000    0.001    0.000 enum.py:850(__setattr__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     1300    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      190    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     1300    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
  166/163    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        6    0.000    0.000    0.004    0.001 typing.py:2780(__new__)
      217    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
       51    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      122    0.000    0.000    0.003    0.000 _markupbase.py:165(parse_comment)
     2589    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      825    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      260    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      424    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.000    0.000    6.742    6.742 financial.py:48(main)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      313    0.000    0.000    1.296    0.004 ssl.py:1095(read)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      197    0.000    0.000    1.400    0.007 <frozen importlib._bootstrap_external>:1520(find_spec)
      660    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       23    0.000    0.000    0.003    0.000 enum.py:528(__new__)
     1476    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      497    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
  734/677    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      733    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       27    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
      237    0.000    0.000    0.600    0.003 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.048    0.048 packages.py:1(<module>)
      324    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
      817    0.000    0.000    0.001    0.000 element.py:2160(get)
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
       20    0.000    0.000    0.073    0.004 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        2    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
        3    0.000    0.000    0.183    0.061 utils.py:1(<module>)
       54    0.000    0.000    0.003    0.000 typing.py:1449(__getitem__)
      138    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
      198    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      825    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       62    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.045    0.045 pathlib.py:1(<module>)
      323    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
       20    0.000    0.000    0.054    0.003 <frozen zipimport>:64(__init__)
    79/46    0.000    0.000    1.121    0.024 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      413    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       83    0.000    0.000    0.001    0.000 typing_extensions.py:3473(_collect_parameters)
        1    0.000    0.000    1.741    1.741 financial.py:7(get_financial_data)
      517    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       20    0.000    0.000    0.117    0.006 <frozen importlib._bootstrap_external>:1456(_path_hooks)
    68/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      122    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      730    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      176    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
      304    0.000    0.000    0.172    0.001 __init__.py:226(compile)
      344    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       64    0.000    0.000    0.002    0.000 typing.py:885(__init__)
      739    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      215    0.000    0.000    0.000    0.000 _virtualenv.py:53(find_spec)
        2    0.000    0.000    0.372    0.186 connection.py:1(<module>)
       49    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
