('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         817564 function calls (793052 primitive calls) in 7.173 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      269    0.001    0.000    0.001    0.000 _events.py:299(__init__)
      286    0.001    0.000    0.003    0.000 typing.py:1147(__init__)
      273    0.000    0.000    2.460    0.009 <frozen importlib._bootstrap_external>:1520(find_spec)
     3115    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      311    0.000    0.000    1.014    0.003 ssl.py:1095(read)
      195    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      712    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
  215/175    0.000    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
      339    0.000    0.000    1.146    0.003 <frozen importlib._bootstrap_external>:159(_path_isfile)
       29    0.000    0.000    0.141    0.005 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        2    0.000    0.000    0.001    0.000 http_proxy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      235    0.000    0.000    0.001    0.000 typing.py:1178(__getattr__)
      103    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
      574    0.000    0.000    0.001    0.000 _receivebuffer.py:77(maybe_extract_at_most)
      277    0.000    0.000    0.002    0.000 _state.py:275(process_event)
       29    0.000    0.000    0.079    0.003 <frozen zipimport>:64(__init__)
       57    0.000    0.000    0.001    0.000 dataclasses.py:760(_get_field)
     1502    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      576    0.000    0.000    0.003    0.000 typing.py:166(_type_convert)
  136/131    0.000    0.000    0.004    0.000 css_parser.py:385(freeze)
      317    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      421    0.000    0.000    0.001    0.000 _parser.py:265(getwhile)
      842    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
     1131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      488    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:632(cached)
      135    0.000    0.000    0.001    0.000 dataclasses.py:701(_is_type)
      274    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
  215/152    0.000    0.000    0.001    0.000 typing.py:1573(__hash__)
      625    0.000    0.000    0.002    0.000 {method 'extend' of 'list' objects}
      497    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      494    0.000    0.000    0.001    0.000 enum.py:79(_is_private)
       36    0.000    0.000    0.002    0.000 typing.py:1047(_generic_class_getitem)
     1798    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
      894    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
     1445    0.000    0.000    0.000    0.000 _connection.py:212(their_state)
      122    0.000    0.000    0.005    0.000 typing.py:1458(copy_with)
      513    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
      149    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 _models.py:328(__delitem__)
     1211    0.000    0.000    0.001    0.000 typing.py:1252(__eq__)
      122    0.000    0.000    0.003    0.000 _markupbase.py:165(parse_comment)
      739    0.000    0.000    0.000    0.000 {built-in method from_bytes}
  156/100    0.000    0.000    0.497    0.005 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      312    0.000    0.000    0.160    0.001 __init__.py:226(compile)
      279    0.000    0.000    0.001    0.000 _connection.py:330(_respond_to_state_changes)
      817    0.000    0.000    0.001    0.000 element.py:2160(get)
  545/338    0.000    0.000    0.001    0.000 typing.py:1258(__hash__)
      302    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
     1201    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      311    0.000    0.000    0.001    0.000 _connection.py:352(receive_data)
      439    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.001    0.000 _urlparse.py:213(urlparse)
      278    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      489    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      767    0.000    0.000    0.000    0.000 _parser.py:83(groups)
     1831    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      311    0.000    0.000    0.000    0.000 _receivebuffer.py:53(__iadd__)
      298    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
      520    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
     22/8    0.000    0.000    0.001    0.000 inspect.py:2470(_signature_from_callable)
      894    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      185    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
      269    0.000    0.000    0.103    0.000 http11.py:330(__iter__)
       29    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       50    0.000    0.000    0.003    0.000 typing.py:885(__init__)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        2    0.000    0.000    0.094    0.047 _sockets.py:1(<module>)
      734    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       32    0.000    0.000    0.000    0.000 inspect.py:175(get_annotations)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      274    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.235    0.235 dammit.py:1(<module>)
      311    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      311    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      292    0.000    0.000    0.000    0.000 _virtualenv.py:53(find_spec)
       25    0.000    0.000    0.000    0.000 _receivebuffer.py:104(maybe_extract_lines)
      622    0.000    0.000    0.000    0.000 _receivebuffer.py:60(__len__)
      278    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      447    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      730    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
        1    0.000    0.000    0.005    0.005 _urlparse.py:1(<module>)
      445    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      354    0.000    0.000    0.002    0.000 typing.py:723(<genexpr>)
       23    0.000    0.000    0.002    0.000 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
      273    0.000    0.000    0.001    0.000 css_parser.py:334(match)
       29    0.000    0.000    0.088    0.003 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
      195    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      263    0.000    0.000    0.010    0.000 _decoders.py:95(decode)
        2    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
      292    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      122    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      494    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        1    0.000    0.000    0.680    0.680 element.py:1(<module>)
    44/16    0.000    0.000    2.590    0.162 {built-in method builtins.__import__}
      239    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        5    0.000    0.000    0.001    0.000 _headers.py:150(normalize_and_validate)
       18    0.000    0.000    0.003    0.000 dataclasses.py:568(_init_fn)
       91    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      197    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
      204    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
        3    0.000    0.000    0.003    0.001 typing.py:2780(__new__)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
      536    0.000    0.000    0.000    0.000 _decoders.py:237(decode)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
    60/30    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      311    0.000    0.000    0.001    0.000 _receivebuffer.py:57(__bool__)
       86    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
        1    0.000    0.000    0.003    0.003 _status_codes.py:1(<module>)
        2    0.000    0.000    1.176    0.588 _models.py:1(<module>)
      452    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      269    0.000    0.000    0.104    0.000 default.py:125(__iter__)
  140/103    0.000    0.000    0.009    0.000 typing.py:508(__getitem__)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        8    0.000    0.000    0.001    0.000 inspect.py:2366(_signature_from_function)
      390    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      279    0.000    0.000    0.000    0.000 _state.py:301(_fire_event_triggered_transitions)
      470    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
       15    0.000    0.000    0.001    0.000 enum.py:513(__prepare__)
        1    0.000    0.000    0.008    0.008 socket.py:1(<module>)
       82    0.000    0.000    0.004    0.000 <frozen abc>:105(__new__)
        2    0.000    0.000    0.371    0.185 http11.py:1(<module>)
        2    0.000    0.000    0.938    0.469 http11.py:65(handle_request)
        1    0.000    0.000    0.274    0.274 __init__.py:209(__init__)
      534    0.000    0.000    0.000    0.000 <string>:2(__eq__)
        7    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
        1    0.000    0.000    0.300    0.300 _multipart.py:1(<module>)
        2    0.000    0.000    1.431    0.715 connection.py:1(<module>)
       37    0.000    0.000    0.003    0.000 typing.py:740(Optional)
        6    0.000    0.000    0.000    0.000 typing.py:2786(<genexpr>)
      269    0.000    0.000    0.103    0.000 connection_pool.py:401(__iter__)
       70    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
      219    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
      311    0.000    0.000    0.000    0.000 types.py:192(__init__)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      352    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.155    0.155 css_parser.py:1(<module>)
        1    0.000    0.000    0.080    0.080 <frozen ntpath>:1(<module>)
       42    0.000    0.000    0.000    0.000 typing.py:2476(overload)
      199    0.000    0.000    0.000    0.000 typing_extensions.py:3410(_is_unpacked_typevartuple)
      195    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.003    0.003 events.py:1(<module>)
      269    0.000    0.000    0.104    0.000 _client.py:152(__iter__)
        2    0.000    0.000    1.040    0.520 _client.py:1001(_send_single_request)
      271    0.000    0.000    0.000    0.000 _connection.py:248(_server_switch_event)
      624    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
       30    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
